TEAM_ID, OFF_RATING, DEF_RATING, NET_RATING, AST_PCT, AST_TOV, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, USG_PCT, PACE, PACE_PER40, POSS, PIE, HOME, TEAM_ID_O, OFF_RATING_O, DEF_RATING_O, NET_RATING_O, AST_PCT_O, AST_TOV_O, AST_RATIO_O, OREB_PCT_O, DREB_PCT_O, REB_PCT_O, TM_TOV_PCT_O, EFG_PCT_O, TS_PCT_O, USG_PCT_O ,PACE_O, PACE_PER40_O, POSS_O, PIE_O, HOME_O, LABEL
1610612741.0, 103.1, 114.1, -11.1, 0.432, 1.14, 13.1, 0.2, 0.733, 0.467, 14.3, 0.494, 0.546, 1.0, 98.5, 82.08, 98.0, 0.4, 0.0, 1610612738.0, 114.1, 103.1, 11.1, 0.718, 2.33, 20.6, 0.267, 0.8, 0.533, 12.1, 0.524, 0.59, 1.0, 98.5, 82.08, 99.0, 0.6, 1.0, 2
1610612740.0, 99.1, 130.8, -31.8, 0.725, 1.81, 19.0, 0.302, 0.674, 0.459, 15.1, 0.47, 0.486, 1.0, 106.5, 88.75, 106.0, 0.33, 0.0, 1610612738.0, 130.8, 99.1, 31.8, 0.527, 2.64, 19.6, 0.326, 0.698, 0.541, 10.3, 0.62, 0.649, 1.0, 106.5, 88.75, 107.0, 0.67, 1.0, 2
1610612755.0, 113.5, 103.2, 10.4, 0.558, 1.85, 18.1, 0.34, 0.76, 0.557, 13.5, 0.551, 0.571, 1.0, 95.5, 79.58, 96.0, 0.588, 0.0, 1610612738.0, 103.2, 113.5, -10.4, 0.447, 1.13, 13.8, 0.24, 0.66, 0.443, 15.8, 0.511, 0.535, 1.0, 95.5, 79.58, 95.0, 0.412, 1.0, 1
1610612759.0, 122.9, 108.6, 14.3, 0.583, 1.87, 19.8, 0.2, 0.745, 0.516, 14.3, 0.603, 0.655, 1.0, 105.0, 87.5, 105.0, 0.588, 0.0, 1610612738.0, 108.6, 122.9, -14.3, 0.703, 1.73, 18.2, 0.255, 0.8, 0.484, 14.3, 0.489, 0.558, 1.0, 105.0, 87.5, 105.0, 0.412, 1.0, 1
1610612764.0, 98.0, 93.1, 5.0, 0.462, 1.29, 14.3, 0.204, 0.636, 0.452, 13.9, 0.506, 0.526, 1.0, 101.0, 84.17, 101.0, 0.565, 0.0, 1610612738.0, 93.1, 98.0, -5.0, 0.515, 1.0, 12.1, 0.364, 0.796, 0.548, 16.8, 0.389, 0.442, 1.0, 101.0, 84.17, 101.0, 0.435, 1.0, 1
1610612741.0, 106.1, 114.4, -8.3, 0.676, 1.44, 17.3, 0.28, 0.659, 0.451, 16.3, 0.506, 0.555, 1.0, 97.5, 81.25, 98.0, 0.462, 0.0, 1610612738.0, 114.4, 106.1, 8.3, 0.512, 1.1, 16.5, 0.341, 0.72, 0.549, 20.6, 0.573, 0.608, 1.0, 97.5, 81.25, 97.0, 0.538, 1.0, 2
1610612766.0, 94.8, 112.4, -17.5, 0.735, 1.47, 18.5, 0.255, 0.648, 0.45, 17.5, 0.465, 0.494, 1.0, 97.0, 80.83, 97.0, 0.398, 0.0, 1610612738.0, 112.4, 94.8, 17.5, 0.568, 1.92, 17.9, 0.352, 0.745, 0.55, 13.4, 0.526, 0.537, 1.0, 97.0, 80.83, 97.0, 0.602, 1.0, 2
1610612761.0, 114.1, 98.0, 16.2, 0.614, 1.23, 19.2, 0.39, 0.78, 0.604, 22.2, 0.607, 0.618, 1.0, 99.0, 82.5, 99.0, 0.581, 0.0, 1610612738.0, 98.0, 114.1, -16.2, 0.581, 1.2, 14.2, 0.22, 0.61, 0.396, 15.2, 0.442, 0.517, 1.0, 99.0, 82.5, 99.0, 0.419, 1.0, 1
1610612739.0, 115.8, 127.7, -11.9, 0.5, 2.0, 16.8, 0.222, 0.688, 0.462, 10.9, 0.571, 0.598, 1.0, 101.0, 84.17, 101.0, 0.463, 0.0, 1610612738.0, 127.7, 115.8, 11.9, 0.571, 2.55, 19.7, 0.313, 0.778, 0.538, 10.9, 0.589, 0.624, 1.0, 101.0, 84.17, 101.0, 0.537, 1.0, 2
1610612761.0, 102.0, 118.0, -16.0, 0.447, 1.0, 13.7, 0.182, 0.604, 0.402, 17.0, 0.525, 0.569, 1.0, 100.0, 83.33, 100.0, 0.469, 0.0, 1610612738.0, 118.0, 102.0, 16.0, 0.565, 1.37, 18.2, 0.396, 0.818, 0.598, 19.0, 0.576, 0.601, 1.0, 100.0, 83.33, 100.0, 0.531, 1.0, 2
